=== 分类统计 ===
   84 | 留归档（AI汇总）
   36 | 研发部周会
   36 | 待确认
   35 | 项目进度会
   23 | 新太项目
   18 | 项目部周会
   12 | 广州机场
    6 | 技术讨论
    3 | 武汉机场
    2 | 上港项目
    1 | 洛阳石化
  ---
  256 | 总计

文件名	分类	目标路径	判断依据
Video meeting—项目部 on Dec 20, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Dec 24, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Dec 3, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Nov 25, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Nov 26, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Nov 27, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Nov 28, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
内蒙新太项目（新钢联）的视频会议 2025年2月20日 - 智能纪要.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
刘秉欣的视频会议 2024年12月24日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2024年12月25日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2024年12月7日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月12日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月13日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月14日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月15日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月16日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月18日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月20日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月23日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月24日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月2日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月3日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年1月7日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年2月14日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年2月16日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年2月18日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
刘秉欣的视频会议 2025年2月19日 - 智能纪要.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：launchable查询及告警管理问题讨论 2026年3月12日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"launchable"
文字记录：上料 APP 及卸货问题研讨会  2025年4月10日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"上料"
文字记录：五人工作安排与系统问题会议 2025年4月8日.md	待确认		无法自动分类，需人工判断
文字记录：代码修改：Beacon与网关定位差异 2026年3月11日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"Beacon"
文字记录：会议研讨多项工作进展情况 2026年3月11日.md	待确认		无法自动分类，需人工判断
文字记录：内蒙新太项目（新钢联）的视频会议 2025年2月20日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
文字记录：内蒙新太项目（新钢联）的视频会议 2025年2月26日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
文字记录：刘秉欣的视频会议 2025年2月14日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月16日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月18日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月19日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月25日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月26日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年2月28日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年3月16日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年3月2日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：刘秉欣的视频会议 2025年3月6日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
文字记录：卸货条件设定及测试问题研讨 2025年4月17日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"堆垛"
文字记录：多项工作安排与检查会议  2025年5月8日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"上料"
文字记录：导航程序测试问题研讨会 2025年4月10日.md	待确认		无法自动分类，需人工判断
文字记录：小程序堆垛定位路线问题会议 2025年4月22日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"堆垛"
文字记录：平板使用问题及解决措施研讨 2025年4月7日.md	待确认		无法自动分类，需人工判断
文字记录：广州机场电子围栏会议安排 2026年3月12日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	标题含"广州机场"
文字记录：总线接口问题沟通与反馈会议 2025年4月16日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	内容含"白云"
文字记录：接口、登录及缓存相关问题研讨 2025年4月14日.md	待确认		无法自动分类，需人工判断
文字记录：数据修改、卡顿及操作异常讨论 2026年3月12日.md	武汉机场	4-Archives/Projects/Work/武汉机场/会议纪要/	内容含"武汉机场"
文字记录：武汉机场图标、手册及任务讨论 2026年3月12日.md	武汉机场	4-Archives/Projects/Work/武汉机场/会议纪要/	标题含"武汉机场"
文字记录：研发部的视频会议 2025年2月18日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
文字记录：研发部的视频会议 2025年3月10日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
文字记录：研发部的视频会议 2025年3月7日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
文字记录：跑步速度与通知次数安排会议  2025年4月10日.md	待确认		无法自动分类，需人工判断
文字记录：项目工作进展与规划会议纪要  2025年5月6日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"卸货"
智能纪要：launchable查询及告警管理问题讨论 2026年3月12日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"launchable"
智能纪要：上料 APP 及卸货问题研讨会 2025年4月10日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"上料"
智能纪要：五人工作安排与系统问题会议 2025年4月8日.md	待确认		无法自动分类，需人工判断
智能纪要：代码修改：Beacon与网关定位差异 2026年3月11日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"Beacon"
智能纪要：会议研讨多项工作进展情况 2026年3月11日.md	待确认		无法自动分类，需人工判断
智能纪要：内蒙新太项目（新钢联）的视频会议 2025年2月26日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
智能纪要：刘秉欣的视频会议 2025年2月25日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：刘秉欣的视频会议 2025年2月26日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：刘秉欣的视频会议 2025年2月28日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：刘秉欣的视频会议 2025年3月16日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：刘秉欣的视频会议 2025年3月2日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：刘秉欣的视频会议 2025年3月6日.md	项目进度会	2-Areas/Work/团队管理/周会纪要/	标题含"刘秉欣"
智能纪要：卸货条件设定及测试问题研讨 2025年4月17日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"堆垛"
智能纪要：多项工作安排与检查会议 2025年5月8日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"料棚"
智能纪要：导航程序测试问题研讨会 2025年4月10日.md	待确认		无法自动分类，需人工判断
智能纪要：小程序堆垛定位路线问题会议 2025年4月22日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"堆垛"
智能纪要：平板使用问题及解决措施研讨 2025年4月7日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"堆垛"
智能纪要：广州机场电子围栏会议安排 2026年3月12日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	标题含"广州机场"
智能纪要：总线接口问题沟通与反馈会议 2025年4月16日.md	待确认		无法自动分类，需人工判断
智能纪要：接口、登录及缓存相关问题研讨 2025年4月14日.md	待确认		无法自动分类，需人工判断
智能纪要：数据修改、卡顿及操作异常讨论 2026年3月12日.md	待确认		无法自动分类，需人工判断
智能纪要：武汉机场图标、手册及任务讨论 2026年3月12日.md	武汉机场	4-Archives/Projects/Work/武汉机场/会议纪要/	标题含"武汉机场"
智能纪要：研发部的视频会议 2025年3月10日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
智能纪要：研发部的视频会议 2025年3月7日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
智能纪要：跑步速度与通知次数安排会议 2025年4月10日.md	待确认		无法自动分类，需人工判断
智能纪要：项目工作进展与规划会议纪要 2025年5月6日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"卸货"
月度纪要小结｜11月24日 - 12月19日.md	留归档（AI汇总）		飞书 AI 汇总
月度纪要小结｜4月2日 - 6月20日.md	留归档（AI汇总）		飞书 AI 汇总
月度纪要小结｜8月25日 - 9月19日.md	留归档（AI汇总）		飞书 AI 汇总
研发部的视频会议 2024年12月23日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2024年12月25日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2024年12月26日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2024年12月31日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2024年12月6日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月13日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月15日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月17日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月23日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月24日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月25日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月2日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月8日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年1月9日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年2月10日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年2月18日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
研发部的视频会议 2025年2月6日 - 智能纪要.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
近期会议速递｜要点概览  2024年12月16日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2024年12月23日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2024年12月30日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年1月13日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年1月20日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年1月27日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年1月6日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年2月10日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年2月17日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年2月24日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年3月10日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年3月17日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年3月31日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年3月3日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年4月14日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年4月21日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年4月28日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年5月12日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年5月19日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年5月26日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年6月2日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览  2025年6月9日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年10月20日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年11月17日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年11月3日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年12月15日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年12月22日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年8月25日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年9月15日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年9月22日.md	留归档（AI汇总）		飞书 AI 汇总
近期会议速递｜要点概览 2025年9月29日.md	留归档（AI汇总）		飞书 AI 汇总
项目部的视频会议 2024年12月23日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月13日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月15日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月17日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月22日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月25日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
项目部的视频会议 2025年1月2日 - 智能纪要.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"项目部的视频会议"
根目录/研发部的视频会议 2024年11月22日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
王宗光的个人文档/文字记录：scommon获取及分支合并问题讨论 2025年9月16日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	内容含"广州机场"
王宗光的个人文档/文字记录：内蒙新太项目（新钢联）的视频会议 2025年2月26日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
王宗光的个人文档/文字记录：内蒙新太项目（新钢联）的视频会议 2025年3月5日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
王宗光的个人文档/文字记录：刷新配置规则变更讨论会议 2025年9月25日.md	上港项目	1-Projects/Work/上港仓储管理/会议纪要/	内容含"RFID"
王宗光的个人文档/文字记录：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"CLE"
王宗光的个人文档/文字记录：多方面业务问题及解决方案探讨会 2025年6月3日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/文字记录：平台重启及相关技术问题研讨 2025年5月31日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/文字记录：王宗光的视频会议 2025年2月20日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/文字记录：申库、测试及登录存货问题讨论 2025年9月17日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/文字记录：研发部的视频会议 2025年2月24日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
王宗光的个人文档/文字记录：项目服务、权限及工作进展会议 2025年4月11日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/智能纪要：scommon获取及分支合并问题讨论 2025年9月16日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	内容含"广州机场"
王宗光的个人文档/智能纪要：内蒙新太项目（新钢联）的视频会议 2025年2月26日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
王宗光的个人文档/智能纪要：内蒙新太项目（新钢联）的视频会议 2025年3月5日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
王宗光的个人文档/智能纪要：刷新配置规则变更讨论会议 2025年9月25日.md	上港项目	1-Projects/Work/上港仓储管理/会议纪要/	内容含"RFID"
王宗光的个人文档/智能纪要：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日.md	技术讨论	3-Resources/Tech/问题解决/	内容含"CLE"
王宗光的个人文档/智能纪要：多方面业务问题及解决方案探讨会 2025年6月3日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"卸货"
王宗光的个人文档/智能纪要：平台重启及相关技术问题研讨 2025年5月31日.md	洛阳石化	4-Archives/Projects/Work/洛阳石化/会议纪要/	内容含"洛阳化工"
王宗光的个人文档/智能纪要：申库、测试及登录存货问题讨论 2025年9月17日.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/智能纪要：研发部的视频会议 2025年2月24日.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"研发部的视频会议"
王宗光的个人文档/智能纪要：项目服务、权限及工作进展会议 2025年4月11日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"卸货"
王宗光的个人文档/月度纪要小结（播客版）｜5月26日 - 6月20日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/月度纪要小结｜8月25日 - 9月19日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/王宗光的视频会议 2025年2月20日 - 智能纪要.md	待确认		无法自动分类，需人工判断
王宗光的个人文档/近期会议速递｜要点概览  2024年12月16日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2024年12月23日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2024年12月30日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年1月13日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年1月20日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年1月27日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年1月6日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年2月10日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年2月17日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年2月24日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年3月10日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年3月17日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年3月3日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年4月14日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年4月21日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年4月7日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年5月12日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年6月2日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览  2025年6月9日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览 2025年8月25日.md	留归档（AI汇总）		飞书 AI 汇总
王宗光的个人文档/近期会议速递｜要点概览 2025年9月22日.md	留归档（AI汇总）		飞书 AI 汇总
陈子杰的个人文档/内蒙新太项目（新钢联）的视频会议 2025年2月7日 - 智能纪要.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	标题含"新太"
陈子杰的个人文档/文字记录：上海东海模型修复及接入方案研讨 2025年5月15日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/文字记录：数据、页面状态及功能处理会议 2025年9月17日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/文字记录：移动应用与 TCDM 会议讨论  2025年6月3日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	标题含"TCDM"
陈子杰的个人文档/文字记录：陈子杰的视频会议 2025年2月24日.md	新太项目	1-Projects/Work/内蒙新太/会议纪要/	内容含"料棚"
陈子杰的个人文档/文字记录：黄佳琪软件工作安排及指导会议 2025年4月11日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/智能纪要：上海东海模型修复及接入方案研讨 2025年5月15日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/智能纪要：数据、页面状态及功能处理会议 2025年9月17日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/智能纪要：移动应用与 TCDM 会议讨论 2025年6月3日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	标题含"TCDM"
陈子杰的个人文档/智能纪要：陈子杰的视频会议 2025年2月24日.md	待确认		无法自动分类，需人工判断
陈子杰的个人文档/智能纪要：黄佳琪软件工作安排及指导会议 2025年4月11日.md	广州机场	1-Projects/Work/广州机场/会议纪要/	内容含"深化设计"
