飞书路径	类型	Token	名称	状态
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/566_T3综合定位系统_2025_08_11_html.zip	file	RV3WbLFMRoxLM1x5vQyciNdynQH	566_T3综合定位系统_2025_08_11_html.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/566_T3综合定位系统_2025_08_11_html/index.html	file	EKd1bK06YoasYzx0qVFcd7dNneb	index.html	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/586_T3综合定位系统状态监控_2025_08_12_html/index.html	file	VhP3b1HqIoKOkYxU5r9cP401nab	index.html	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/集群管理与故障排查指南.docx	file	LutAbVrqkojjIExFFTec9srfnrN	集群管理与故障排查指南.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/运维手册.docx	file	WWPQb7pXzotkQWxbIcUcpnWznRd	运维手册.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/综合定位平台操作手册.pptx	file	NkHXbinVioPRwBxUgDScY5SonPh	综合定位平台操作手册.pptx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/综合定位平台操作手册.docx	file	OVwQb5Hm7o7C96xuuiVc7Vl4nmc	综合定位平台操作手册.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/综合定位平台手册.zip	file	IbptbGRCGoWZ07xs2k3cHhRhngC	综合定位平台手册.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/综合定位平台开发进度.xlsx	file	FhWMbkUp2oMzRrxCKVEcc0LZnHh	综合定位平台开发进度.xlsx	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/渗透测试记录表及问题汇总-广东省机场管理集团有限公司工程建设指挥部弱电信息工程部-T3综合定位系统-2025年08....pdf	file	GleQbJJSqoetPRx5r9PcEwv9nJf	渗透测试记录表及问题汇总-广东省机场管理集团有限公司工程建设指挥部弱电信息工程部-T3综合定位系统-2025年08....pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/广州机场综合定位任务清单.xlsx	file	CM7hb2GiUoys0ZxfmJCcb0hEnzr	广州机场综合定位任务清单.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/广州机场移动应用任务清单.xlsx	file	T3xWbWNsmoJdxxxVV0McQszSnqg	广州机场移动应用任务清单.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/iMaster NCE-Campus V300R024C00 北向接口指导(CHM).chm	file	ZAl3b0eREoGd1tx73DOcdv7OnHv	iMaster NCE-Campus V300R024C00 北向接口指导(CHM).chm	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/586_T3综合定位系统状态监控_2025_08_12_html.zip	file	Siy0bEIXRoW7LVx1FxccPCrbnWf	586_T3综合定位系统状态监控_2025_08_12_html.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/566_T3综合定位系统_2025_08_11_html.zip	file	A6yJbW0M3oHpGAxOwxLczFgOnHb	566_T3综合定位系统_2025_08_11_html.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/20250812广东省机场管理集团有限公司工程建设指挥部弱电信息工程部T3综合定位系统引擎、T3综合渗透测试初测报告....docx	file	ZsA2bwiTmoERFXxl19ncqERKnpf	20250812广东省机场管理集团有限公司工程建设指挥部弱电信息工程部T3综合定位系统引擎、T3综合渗透测试初测报告....docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/广州机场渗透报告、操作手册等/016-1-综合定位系统-广州白云国际机场三期扩建工程机场弱电信息工程和民航专业设备第三方检测-工作联系单.docx	file	QI4Kb2nFFoLVipxbJZhcMAeKn3b	016-1-综合定位系统-广州白云国际机场三期扩建工程机场弱电信息工程和民航专业设备第三方检测-工作联系单.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/华为/附件3：机场企业服务总线（融合集成平台）使用需求调研表v1.1.xlsx	file	Vfzybn1s2oiAkRx9gCzc1tpFnuf	附件3：机场企业服务总线（融合集成平台）使用需求调研表v1.1.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/华为/附件1：白云机场三期业务资源规划调研V1-业务厂家.xlsx	file	Jnq4bNJy0o779vxIJORcQ4PMnic	附件1：白云机场三期业务资源规划调研V1-业务厂家.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/华为/Huawei Cloud Stack 8.2.1 X86_操作系统兼容性.xlsx	file	L00Lb4NWkoCsOMxEcP9cC491nfe	Huawei Cloud Stack 8.2.1 X86_操作系统兼容性.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/T3管理部/关于T3航站楼行李手推车和委外人员定位管理的需求.xls	file	FIeEbplgboe12QxY9xEcaAYDnie	关于T3航站楼行李手推车和委外人员定位管理的需求.xls	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/T3管理部/关于T3航站楼行李手推车和委外人员定位管理的需求(1).docx	file	MKpnb9w0BoSe6Fx15xWcK1IEnHd	关于T3航站楼行李手推车和委外人员定位管理的需求(1).docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/T3管理部/【会议纪要】委外人员定位及手推车解决方案研讨会-20240724.doc	file	RG0PbHCpwoLKnQxkcZCcEKpmntd	【会议纪要】委外人员定位及手推车解决方案研讨会-20240724.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/T3管理部/T3航站楼行李手推车和委外人员定位管理规模评估.xlsx	file	BHUGbEArooDy1xxLIZ2cElsjnEb	T3航站楼行李手推车和委外人员定位管理规模评估.xlsx	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/T3管理部/20240724委外人员定位及手推车解决方案.zip	file	IjuObQwkcozYFlxnvMSc0aN5n6e	20240724委外人员定位及手推车解决方案.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/IDD/广州白云国际机场三期扩建项目-综合定位-接口规范-V1.0.1(1).docx	file	Nh5LbC9zNoS4CcxpzQWcSqQmn1d	广州白云国际机场三期扩建项目-综合定位-接口规范-V1.0.1(1).docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/IDD/服务总线-业务系统集成规范V1.2.docx	file	WTCjbv55Xo9MkFxIZR1cH0fNnUc	服务总线-业务系统集成规范V1.2.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/IDD/IDD培训.mp4	file	Voflb6hmcoqBnqxw5dacvWKpnqb	IDD培训.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/AESB对接表格	docx	C3oOdoliBoZ7gqx4pFYckKL4nch	AESB对接表格	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/委派人员根据TCDM提供岗位创建围栏和定位对象	docx	B2fhdqHsvouBtKx0pUZcH27GnPb	委派人员根据TCDM提供岗位创建围栏和定位对象	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/模板-广州机场T3-AESB总线业务联调方案1.1（20250319）- 三标修改	docx	FM2hdCBaqo3humx0p1ccd8a9nKc	模板-广州机场T3-AESB总线业务联调方案1.1（20250319）- 三标修改	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/地理信息系统注册教程	docx	H1Zkdg4cboB6sixJ7JkcJ4Zlnkh	地理信息系统注册教程	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/堡垒机中 Windows 上传下载文件说明	docx	C3tKdXgROooAhsxQ34zcOxTKnTe	堡垒机中 Windows 上传下载文件说明	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/堡垒机通过客户端调用本地应用方法	docx	FE83djJ5YouqgmxZqjccU9Von2d	堡垒机通过客户端调用本地应用方法	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/系统对接/堡垒机 Linux 上传下载文件说明	docx	SZ5ZdgaNxonjelxBorWcCeLqnfc	堡垒机 Linux 上传下载文件说明	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/第三方检测/综合定位三检整改方案	docx	V1aldx8ljoIJtOxLONncwuwDn7d	综合定位三检整改方案	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/授权委托书.pdf	file	Mtegbcgl2o46s9xORL9clKWpnHf	授权委托书.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/【项目编号】-【单位名称】-【系统名称】-系统情况调查表-2021-v1.30精简版 (1).xlsx	file	XUuOby2MNoWccqxJyiDcUc7VnAf	【项目编号】-【单位名称】-【系统名称】-系统情况调查表-2021-v1.30精简版 (1).xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/附件4：系统使用的安全产品清单及认证、销售许可证明.doc	file	Th0PbC0ICoMWwHxzlnlc9uTpnqf	附件4：系统使用的安全产品清单及认证、销售许可证明.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/经办人身份证 .docx	file	RpDabjcPUo9pGrx8BYSc1wASnee	经办人身份证 .docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/授权委托书.docx	file	D11RbTBqroOKHWxuj95c0vDfn3c	授权委托书.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/附件3：系统安全保护设施设计实施方案或改建实施方案.doc	file	FxHpbpkIpoXK22xUTn0c9SKgnqd	附件3：系统安全保护设施设计实施方案或改建实施方案.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/系统域名调研表（主要填标黄部分）.xlsx	file	M9v7br0xLoXXsGxoC8zchdGIn9c	系统域名调研表（主要填标黄部分）.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/03-综合定位管理系统安全等级保护定级报告-三级 .doc	file	NG6NbQ8qdoHNG2xIeY7ccA10nig	03-综合定位管理系统安全等级保护定级报告-三级 .doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/单位组织机构代码或工商营业执照 1.doc	file	EMGibxk5SoTNuUx2shfcfuQZn6g	单位组织机构代码或工商营业执照 1.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/单位组织机构代码或工商营业执照.doc	file	KKFjbWFxQoN4MFxdbSwcC6wjnGe	单位组织机构代码或工商营业执照.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/02-备案系统表_综合定位管理系统-三级.doc	file	KUdrbU3ZboJqRMxrRdZcsDl7nob	02-备案系统表_综合定位管理系统-三级.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/附件1：系统拓扑结构及说明 .doc	file	JKzBbPVNdoVqyuxFtW0cbLpXn4b	附件1：系统拓扑结构及说明 .doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/XX单位-XX系统-专家评审意见.docx	file	HDrcb46qJoQBJox7ctCc7iTZnse	XX单位-XX系统-专家评审意见.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/经办人身份证.pdf	file	CdbwbO3usoOdNDxauvVcTnklnhc	经办人身份证.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/备案单位表.pdf	file	Sh5CbXm9WofXD2xWcs2cdadsnee	备案单位表.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/附件2：系统安全组织机构及管理制度（没有相关文件可参考该模板）.doc	file	Ipo8bRd1zovK9gxHpZ9c3e1rnNc	附件2：系统安全组织机构及管理制度（没有相关文件可参考该模板）.doc	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/主管部门审核批准网络安全等级保护对象安全保护等级的意见（有上级单位或行业主管需填写，没有则不用填）.docx	file	DscjbpHN8oqM8JxIsEvckeBenJk	主管部门审核批准网络安全等级保护对象安全保护等级的意见（有上级单位或行业主管需填写，没有则不用填）.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/定级备案-广州【三级】/.DS_Store	file	KvgCb8a73oAfPOxw8xicfx35nfe	.DS_Store	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-屋顶.dwg	file	D0XObmbu1okCmkxmODYc9PsIn0e	T3-屋顶.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-马道.dwg	file	SE6ibDrBooRmHRxaZEXcyLWEnsh	T3-马道.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-B2F.dwg	file	V54GbyaqGorg5vxrdDvcRx0Uneg	T3-B2F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-B1F.dwg	file	AWabbTk7qowlEOxxMI0cLVS1nXf	T3-B1F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-B1F(夹层).dwg	file	NxKFbYImrof2LBxvveTcZ73QnDc	T3-B1F(夹层).dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-24M.dwg	file	IRrBbe7tHoS8u6xhEqvc42NPnTJ	T3-24M.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-5F.dwg	file	DyxubiIsOobNc9x4f22cRp5fnv0	T3-5F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-4F.dwg	file	RiyLbCUKMoaDN7xouYzcNHm2n3d	T3-4F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-3F.dwg	file	Gt9Nb9CQvoEz1bxG6krc6rEJnaf	T3-3F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-2F.dwg	file	NM7ibaITOoRNI6xdrYrcNHaFngg	T3-2F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/240826最新建筑图纸/T3-1F.dwg	file	KfdTbWp0Po1A29xrUAKcJ4ktn2f	T3-1F.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/项目文档/深化设计要求模版/点位表统计.xlsx	file	NioBbbwaBoeMLsxC5oZcm4j4nki	点位表统计.xlsx	❌ 未迁移
