Name,Assign,Attachments,Complete,Due,Section,Tag
第40周,,,No,"May 23, 2019 8:00 AM (GMT+8)",孕期列表,
第17周,,,No,"December 13, 2018 8:00 AM (GMT+8)",记录,
第16周,,,Yes,"December 6, 2018 8:00 AM (GMT+8)",记录,
第15周,,,Yes,"November 29, 2018 8:00 AM (GMT+8)",记录,
第14周,,,Yes,"November 22, 2018 8:00 AM (GMT+8)",记录,
第13周,,,Yes,"November 15, 2018 8:00 AM (GMT+8)",记录,
中期,,,No,"February 21, 2019 8:00 AM (GMT+8)",记录,
第12周,,,Yes,"November 8, 2018 8:00 AM (GMT+8)",记录,
第11周,,,Yes,"November 1, 2018 8:00 AM (GMT+8)",记录,
第10周,,,Yes,"October 25, 2018 8:00 AM (GMT+8)",记录,
第9周,,,Yes,"October 18, 2018 8:00 AM (GMT+8)",记录,
第8周,,,Yes,"October 11, 2018 8:00 AM (GMT+8)",记录,
第7周,,,Yes,"October 4, 2018 8:00 AM (GMT+8)",记录,
第6周,,,Yes,"September 27, 2018 8:00 AM (GMT+8)",记录,
第5周,,,Yes,"September 20, 2018 8:00 AM (GMT+8)",记录,
第4周,,,Yes,"September 13, 2018 8:00 AM (GMT+8)",记录,
第3周,,,Yes,"September 6, 2018 8:00 AM (GMT+8)",记录,
第2周,,,Yes,"August 30, 2018 8:00 AM (GMT+8)",记录,
第1周,,,Yes,"August 23, 2018 8:00 AM (GMT+8)",记录,
早期,,,Yes,"November 8, 2018 8:00 AM (GMT+8)",记录,
第15周,,,No,,孕妇每周变化,
第14周,,,No,,孕妇每周变化,
第13周,,,No,,孕妇每周变化,
中期,,,No,,孕妇每周变化,
第12周,,,No,,孕妇每周变化,
第11周,,,No,,孕妇每周变化,
第10周,,,No,,孕妇每周变化,
第9周,,,No,,孕妇每周变化,
第8周,,,No,,孕妇每周变化,
第7周,,,No,,孕妇每周变化,
第6周,,,No,,孕妇每周变化,
第5周,,,No,,孕妇每周变化,
"第4周 ",,,No,,孕妇每周变化,
早期,,,No,,孕妇每周变化,
第15周,,,No,,孩子每周变化,
第14周,,,No,,孩子每周变化,
第13周,,,No,,孩子每周变化,
中期,,,No,,孩子每周变化,
第12周,,,No,,孩子每周变化,
第11周,,,No,,孩子每周变化,
第10周,,,No,,孩子每周变化,
第9周,,,No,,孩子每周变化,
第8周,,,No,,孩子每周变化,
第7周,,,No,,孩子每周变化,
第6周,,,No,,孩子每周变化,
第5周,,,No,,孩子每周变化,
第4周,,,No,,孩子每周变化,
早期,,,No,,孩子每周变化,
怀胎10月过程（视频）,,,No,,干货,
孕期孕妇和胎儿每周变化,,"https://asana-user-private-us-east-1.s3.amazonaws.com/assets/760495149821361/905684003705602/aa6b4c557a41a27fdf4d92a542dd4572?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEA4aCXVzLWVhc3QtMSJHMEUCIQDH0Hr2Dhc2ejBshfQau0cZ%2BKFu3yRfJRsecHxHhBOW7gIgEWmGrxIUDQCXyi6%2Fe%2BuNv5xOpis9z4VeD2Un2vcLXH4qgwQI1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw0MDM0ODM0NDY4NDAiDNXihLfT6GVtKFikjSrXAwtE1kpAGNDh0ATLlO5pGQpgYVaL6aiiFxAdmn96iTFLZ36nUkjrVf%2FD%2FsX%2FW13Npb4DCKaH0gOcLXdI312B0w12nhEP2tx4vV%2FuWp9vOSSuRXTTaLnBzdXpyd5h0Wqno%2Bwiup0mFSQDXbHGPmZsUlxJGfWR74rPdZqbvNe6E51M0JZnyO7GnZybkCjx6%2BeXK%2F9OLIA3luT6CUqvlMLezv2N%2FMiiTShF3temA%2B3Z5mlKyk1cPdUSRE7h5QzNga2SmMamyup4KL3PzMDYejRmOVgTUKpMFmQq67eD5IvWICbX%2BEa4nvMddqZkX65MOnQxgioySM8tzrnpYTU9MVOx70rvrqYVZP9TGGNHWhVT0UdzQ7q6QDUbbkaLfumi2F5JVNtZMemmhq7koQ1GIdvmpzuEym4G4vAA553cCRaTSf%2Bes%2FqW7wvOw9L0GBbZUsyigX%2Bcj5Q2dl9l8vnYv74OL4A782lK9%2FQQnksVJTzaD%2FtVlKbcnjCi85Q%2BhrcBBvG4q8pj7MhczvxyV0LIEpKXB9MAfuXNjGK23iCq7j3QrDgolbDCFaCwp%2F71gk3UnCcBsGNGQ%2BKhLFOCAJUankHLrDm8nZILMn2%2F5uJvlvmDv3O7jZwQtXRC%2BDC80seGBjqlAQz865E5MX2r3AlTHleeTTDRHcRuaIZib%2F5u1Bu1%2FAaL5%2F8vAgl7UWJ5Sm4H61nh%2FEMDxtVLyKuvonBV%2FDgud05JmwWkpJ3DrHHwUsB0YVyuHh0fzUDLwD6NM%2Brl80OFNJAfFEZvNepvzQAO09sn7fHYoiNK22B%2F%2F3dankvzvzKbgntBke2lCSfqJ239YgLmiPc1d9vUN8U116RlStgFPrjj0AxsFw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210622T143649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=120&X-Amz-Credential=ASIAV34L4ZY4IK4O2NVP%2F20210622%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e2b193a590bc684a073a6d83e59de05c3c0675848ccb278c268ab1e2221f17cc#_=_, https://asana-user-private-us-east-1.s3.amazonaws.com/assets/760495149821361/905684003705604/36da49e62081c2a20c326486f8a60186?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEA4aCXVzLWVhc3QtMSJHMEUCIQDH0Hr2Dhc2ejBshfQau0cZ%2BKFu3yRfJRsecHxHhBOW7gIgEWmGrxIUDQCXyi6%2Fe%2BuNv5xOpis9z4VeD2Un2vcLXH4qgwQI1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw0MDM0ODM0NDY4NDAiDNXihLfT6GVtKFikjSrXAwtE1kpAGNDh0ATLlO5pGQpgYVaL6aiiFxAdmn96iTFLZ36nUkjrVf%2FD%2FsX%2FW13Npb4DCKaH0gOcLXdI312B0w12nhEP2tx4vV%2FuWp9vOSSuRXTTaLnBzdXpyd5h0Wqno%2Bwiup0mFSQDXbHGPmZsUlxJGfWR74rPdZqbvNe6E51M0JZnyO7GnZybkCjx6%2BeXK%2F9OLIA3luT6CUqvlMLezv2N%2FMiiTShF3temA%2B3Z5mlKyk1cPdUSRE7h5QzNga2SmMamyup4KL3PzMDYejRmOVgTUKpMFmQq67eD5IvWICbX%2BEa4nvMddqZkX65MOnQxgioySM8tzrnpYTU9MVOx70rvrqYVZP9TGGNHWhVT0UdzQ7q6QDUbbkaLfumi2F5JVNtZMemmhq7koQ1GIdvmpzuEym4G4vAA553cCRaTSf%2Bes%2FqW7wvOw9L0GBbZUsyigX%2Bcj5Q2dl9l8vnYv74OL4A782lK9%2FQQnksVJTzaD%2FtVlKbcnjCi85Q%2BhrcBBvG4q8pj7MhczvxyV0LIEpKXB9MAfuXNjGK23iCq7j3QrDgolbDCFaCwp%2F71gk3UnCcBsGNGQ%2BKhLFOCAJUankHLrDm8nZILMn2%2F5uJvlvmDv3O7jZwQtXRC%2BDC80seGBjqlAQz865E5MX2r3AlTHleeTTDRHcRuaIZib%2F5u1Bu1%2FAaL5%2F8vAgl7UWJ5Sm4H61nh%2FEMDxtVLyKuvonBV%2FDgud05JmwWkpJ3DrHHwUsB0YVyuHh0fzUDLwD6NM%2Brl80OFNJAfFEZvNepvzQAO09sn7fHYoiNK22B%2F%2F3dankvzvzKbgntBke2lCSfqJ239YgLmiPc1d9vUN8U116RlStgFPrjj0AxsFw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210622T143649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=120&X-Amz-Credential=ASIAV34L4ZY4IK4O2NVP%2F20210622%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=de2e9dca742852a46027f2a3fa2aae42878fd31fb6f8daf60627a23ba5d4ebf1#_=_, https://asana-user-private-us-east-1.s3.amazonaws.com/assets/760495149821361/905684003705606/dfd75cc9ee96288332dc9bc31e4334d7?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEA4aCXVzLWVhc3QtMSJHMEUCIQDH0Hr2Dhc2ejBshfQau0cZ%2BKFu3yRfJRsecHxHhBOW7gIgEWmGrxIUDQCXyi6%2Fe%2BuNv5xOpis9z4VeD2Un2vcLXH4qgwQI1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw0MDM0ODM0NDY4NDAiDNXihLfT6GVtKFikjSrXAwtE1kpAGNDh0ATLlO5pGQpgYVaL6aiiFxAdmn96iTFLZ36nUkjrVf%2FD%2FsX%2FW13Npb4DCKaH0gOcLXdI312B0w12nhEP2tx4vV%2FuWp9vOSSuRXTTaLnBzdXpyd5h0Wqno%2Bwiup0mFSQDXbHGPmZsUlxJGfWR74rPdZqbvNe6E51M0JZnyO7GnZybkCjx6%2BeXK%2F9OLIA3luT6CUqvlMLezv2N%2FMiiTShF3temA%2B3Z5mlKyk1cPdUSRE7h5QzNga2SmMamyup4KL3PzMDYejRmOVgTUKpMFmQq67eD5IvWICbX%2BEa4nvMddqZkX65MOnQxgioySM8tzrnpYTU9MVOx70rvrqYVZP9TGGNHWhVT0UdzQ7q6QDUbbkaLfumi2F5JVNtZMemmhq7koQ1GIdvmpzuEym4G4vAA553cCRaTSf%2Bes%2FqW7wvOw9L0GBbZUsyigX%2Bcj5Q2dl9l8vnYv74OL4A782lK9%2FQQnksVJTzaD%2FtVlKbcnjCi85Q%2BhrcBBvG4q8pj7MhczvxyV0LIEpKXB9MAfuXNjGK23iCq7j3QrDgolbDCFaCwp%2F71gk3UnCcBsGNGQ%2BKhLFOCAJUankHLrDm8nZILMn2%2F5uJvlvmDv3O7jZwQtXRC%2BDC80seGBjqlAQz865E5MX2r3AlTHleeTTDRHcRuaIZib%2F5u1Bu1%2FAaL5%2F8vAgl7UWJ5Sm4H61nh%2FEMDxtVLyKuvonBV%2FDgud05JmwWkpJ3DrHHwUsB0YVyuHh0fzUDLwD6NM%2Brl80OFNJAfFEZvNepvzQAO09sn7fHYoiNK22B%2F%2F3dankvzvzKbgntBke2lCSfqJ239YgLmiPc1d9vUN8U116RlStgFPrjj0AxsFw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210622T143649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=120&X-Amz-Credential=ASIAV34L4ZY4IK4O2NVP%2F20210622%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=0653471f23e1385d9441e2849d9c8a398d77adc0bc5bd8261b51768a4de204d6#_=_",No,,干货,
Dr. Brown's® Options™ Glass Bottle Starter Set,,,No,,预购,
Invati Exfoliating Shampoo by Aveda,,,No,,预购,
Clarins Body Treatment Oil Contouring,,,No,,预购,
Baby Ddrops Liquid Vitamin D3,,,No,,预购,
每天晚上11点以后，全部用来搜索相关资料,,,No,,改变,
你说的，都是优先级最高的任务,,,No,,改变,
没有帮你买你要买的东西,,,No,,反省,
没有买你要吃的东西,,,No,,反省,
没有协助你找医生,,,No,,反省,
太多时间花在工作上,,,No,,反省,
你的事情没有真正放在心上,,,No,,反省,
没有陪在你身边,,,No,,反省,
调研渠道,,,No,,调研内容,
每个阶段该做的事情,,,No,,调研内容,
将来打算（买房，工作，选择加拿大/中国）,,,No,,调研内容,
婆媳问题,,,No,,调研内容,
产前注意事项,,,No,,调研内容,
医疗建议,,,No,,调研内容,
不要孩子影响,,,No,,要不要小孩,
影响因素,,,No,,要不要小孩,
要孩子影响,,,No,,要不要小孩,
